title,description,channel,method,video_id,url
"Popular datasets for computer vision: ImageNet, Coco and Google Open images | Deep Learning 29","Imagenet, Coco and google open images datasets are 3 most popular image datasets for computer vision. These datasets provides millions of hand annotated imag...",codebasics,Web Scraping,SfqN-Hc5two,https://youtu.be/SfqN-Hc5two
"What is Word2Vec? A Simple Explanation | Deep Learning Tutorial 41 (Tensorflow, Keras &amp; Python)",A very simple explanation of word2vec. This video gives an intuitive understanding of how word2vec algorithm works and how it can generate accurate word embe...,codebasics,Web Scraping,hQwFeIupNP0,https://youtu.be/hQwFeIupNP0
"Quantization in deep learning | Deep Learning Tutorial 49 (Tensorflow, Keras &amp; Python)","Are you planning to deploy a deep learning model on any edge device (microcontrollers, cell phone or wearable device)? You need to optimize or downsize your ...",codebasics,Web Scraping,v1oHf1KV6kM,https://youtu.be/v1oHf1KV6kM
"Converting words to numbers, Word Embeddings | Deep Learning Tutorial 39 (Tensorflow &amp; Python)",Machine learning models don&#39;t understand words. They should be converted to numbers before they are fed to RNN or any other machine learning model. In this t...,codebasics,Web Scraping,sZGuyTLjsco,https://youtu.be/sZGuyTLjsco
"Install tensorflow 2.0 | Deep Learning Tutorial 5 (Tensorflow Tutorial, Keras &amp; Python)",I will show how to install tensorflow 2.0 on windows computer. I will be installing it on top of anaconda. Video to install anaconda on windows: https://www....,codebasics,Web Scraping,VC-EliTgMEM,https://youtu.be/VC-EliTgMEM
"Neural Network Simply Explained | Deep Learning Tutorial 4 (Tensorflow2.0, Keras &amp; Python)",What is a neural network?: Very simple explanation of a neural network using an analogy that even a high school student can understand it easily. what is a n...,codebasics,Web Scraping,ER2It2mIagI,https://youtu.be/ER2It2mIagI
"What is YOLO algorithm? | Deep Learning Tutorial 31 (Tensorflow, Keras &amp; Python)",YOLO (You only look once) is a state of the art object detection algorithm that has become main method of detecting objects in the field of computer vision. ...,codebasics,Web Scraping,ag3DLKsl2vk,https://youtu.be/ag3DLKsl2vk
Neural Network For Handwritten Digits Classification | Deep Learning Tutorial 7 (Tensorflow2.0),In this video we will build our first neural network in tensorflow and python for handwritten digits classification. We will first build a very simple neural...,codebasics,Web Scraping,iqQgED9vV7k,https://youtu.be/iqQgED9vV7k
"GPU bench-marking with image classification | Deep Learning Tutorial 17 (Tensorflow2.0, Python)",This video shows performance comparison of using a CPU vs NVIDIA TITAN RTX GPU for deep learning. We are using 60000 small images for classification. These i...,codebasics,Web Scraping,YmDaqXMIoeY,https://youtu.be/YmDaqXMIoeY
"Vanishing and exploding gradients | Deep Learning Tutorial 35 (Tensorflow, Keras &amp; Python)",Vanishing gradient is a commong problem encountered while training a deep  neural network with many layers. In case of RNN this problem is prominent as unrol...,codebasics,Web Scraping,qowp6SQ9_Oo,https://youtu.be/qowp6SQ9_Oo
"Bidirectional RNN | Deep Learning Tutorial 38 (Tensorflow, Keras &amp; Python)",Bi directional RNNs are used in NLP problems where looking at what comes in the sentence after a given word influences final outcome. In this short video we ...,codebasics,Web Scraping,atYPhweJ7ao,https://youtu.be/atYPhweJ7ao
"Precision, Recall, F1 score, True Positive|Deep Learning Tutorial 19 (Tensorflow2.0, Keras &amp; Python)","In this video we will go over following concepts,What is true positive, false positive, true negative, false negativeWhat is precision and recallWhat is F1 s...",codebasics,Web Scraping,2osIZ-dSPGE,https://youtu.be/2osIZ-dSPGE
"Tensorflow Input Pipeline | tf Dataset | Deep Learning Tutorial 44 (Tensorflow, Keras &amp; Python)",Tensorflow tf.Data api allows you to build a data input pipeline. Using this you can handle large dataset for your deep learning training by streaming traini...,codebasics,Web Scraping,VFEOskzhhbc,https://youtu.be/VFEOskzhhbc
"What is BERT? | Deep Learning Tutorial 46 (Tensorflow, Keras &amp; Python)",What is BERT (Bidirectional Encoder Representations From Transformers) and how it is used to solve NLP tasks? This video provides a very simple explanation o...,codebasics,Web Scraping,7kLi8u2dJz0,https://youtu.be/7kLi8u2dJz0
"Gradient Descent For Neural Network | Deep Learning Tutorial 12 (Tensorflow2.0, Keras &amp; Python)",Gradient descent is the heart of all supervised learning models. It is important to understand this technique if you are pursuing a career as a data scientis...,codebasics,Web Scraping,pXGBHV3y8rs,https://youtu.be/pXGBHV3y8rs
"Activation Functions | Deep Learning Tutorial 8 (Tensorflow Tutorial, Keras &amp; Python)","Activation functions (step, sigmoid, tanh, relu, leaky relu ) are very important in building a non linear model for a given problem. In this video we will co...",codebasics,Web Scraping,icZItWxw7AI,https://youtu.be/icZItWxw7AI
Deep learning project end to end | Potato Disease Classification - 6 : ImageDataGenerator API,"In part 2 and 3, we used explicit data augmentation layer to train our model. In this video I want to show you an alternate way of training the model using a...",codebasics,Web Scraping,DQFerxe6o5g,https://youtu.be/DQFerxe6o5g
"Pytorch vs Tensorflow vs Keras | Deep Learning Tutorial 6 (Tensorflow Tutorial, Keras &amp; Python)","We will go over what is the difference between pytorch, tensorflow and keras in this video. Pytorch and Tensorflow are two most popular deep learning framewo...",codebasics,Web Scraping,z-ZR_8BZ1wQ,https://youtu.be/z-ZR_8BZ1wQ
Object detection using YOLO v4 and pre trained model | Deep Learning Tutorial 32 (Tensorflow),In this video we will use YOLO V4 and use pretrained weights to detect object boundaries in an image. The model was trained on COCO dataset using YOLO V4.Wat...,codebasics,Web Scraping,IfRMV2MY9n0,https://youtu.be/IfRMV2MY9n0
"Word embedding using keras embedding layer | Deep Learning Tutorial 40 (Tensorflow, Keras &amp; Python)",In this video we will discuss how exactly word embeddings are computed. There are two techniques for this (1) supervised learning (2) self supervised learnin...,codebasics,Web Scraping,Fuw0wv3X-0o,https://youtu.be/Fuw0wv3X-0o
"tf serving tutorial | tensorflow serving tutorial | Deep Learning Tutorial 48 (Tensorflow, Python)",Are you using flask or Fast API to serve your machine learning models? tf serving is a tool that allows you to bring up a model server with single command. I...,codebasics,Web Scraping,P-5sMcpTE0g,https://youtu.be/P-5sMcpTE0g
Deep learning project end to end | Potato Disease Classification - 7 : Model Deployment To GCP,We will deploy our trained model on Google Cloud Platform (GCP) in this video.Code in this video: https://github.com/codebasics/potato-disease-classification...,codebasics,Web Scraping,ra4j7yDlakQ,https://youtu.be/ra4j7yDlakQ
Image classification using CNN (CIFAR10 dataset) | Deep Learning Tutorial 24 (Tensorflow &amp; Python),In this video we will do small image classification using CIFAR10 dataset in tensorflow. We will use convolutional neural network for this image classificati...,codebasics,Web Scraping,7HPwo4wnJeA,https://youtu.be/7HPwo4wnJeA
Deep learning project end to end | Potato Disease Classification - 4 : FastAPI/tf serving Backend,tf serving is a convenient way to serve machine learning models. In this video we will first build a FastAPI web server and test it using postman application...,codebasics,Web Scraping,t6NI0u_lgNo,https://youtu.be/t6NI0u_lgNo
Transformers Explained | Simple Explanation of Transformers,Transformers is a deep learning architecture that started the modern day AI bootcamp. Applications like ChatGPT uses a model called GPT which is based on the...,codebasics,Web Scraping,ZhAz268Hdpw,https://youtu.be/ZhAz268Hdpw
"Matrix Basics | Deep Learning Tutorial 10 (Tensorflow Tutorial, Keras &amp; Python)","Matrix fundamentals are essential to understand how deep learning works. In this video we will go over what is matrix, matrix multiplication, dot product etc...",codebasics,Web Scraping,Wibxjrxf5ko,https://youtu.be/Wibxjrxf5ko
Simple explanation of convolutional neural network | Deep Learning Tutorial 23 (Tensorflow &amp; Python),A very simple explanation of convolutional neural network or CNN or ConvNet such that even a high school student can understand it easily. This video involve...,codebasics,Web Scraping,zfiSAzpy9NM,https://youtu.be/zfiSAzpy9NM
"Dropout Regularization | Deep Learning Tutorial 20 (Tensorflow2.0, Keras &amp; Python)",Overfitting and underfitting are common phenomena in the field of machine learning and the techniques used to tackle overfitting problem is called regulariza...,codebasics,Web Scraping,lcI8ukTUEbo,https://youtu.be/lcI8ukTUEbo
